method,eval_id,feasible,violation,composite,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L,w0,w1,w2
RandomSearch,36,1,0.0,0.44320712865974254,-0.5247043344538576,-345.0491274178744,0.017069542605646693,188.69895467774438,0.09933304940971777,0.12641094486936133,0.056616031988799165,1.0838345759568653,0.34201110163456117,0.21915390628604925,,,
RandomSearch,37,1,0.0,0.0003461132230257992,-1.4813485492068756,1029.325718862783,0.02531299653305079,213.41325864547275,0.6262730941613164,0.20536685068415617,-0.12186003965884762,1.6107746207084639,0.420967007449356,0.040677834638402466,,,
RandomSearch,38,1,0.0,0.00015573567880383196,-1.0123240840855579,-857.1026730082345,0.023421283235860457,307.27554451741435,0.9648291206806778,0.44189275413432405,0.055079585874252324,1.9493306472278253,0.6574929108995239,0.2176174601715024,,,
RandomSearch,39,1,0.0,0.9603904071724207,-0.26635317052181295,-960.0011459934325,-0.017345117117232946,236.42198686838435,-0.7187980982228543,-0.2969942665712133,-0.026516793253104076,0.26570342832429317,0.08139410980601347,0.136021081044146,,,
RandomSearch,40,0,1.0,0.9885200626988555,2.118755671836274,-637.548526383002,-0.034510476829483744,-3.159364250883243,-1.124119908914099,-0.10874726613299313,-0.05543760798797681,0.13961838236695145,0.10685289063220671,0.10710026630927327,,,
RandomSearch,41,1,0.0,0.5604119027478887,-0.39733080746315297,841.5868357052109,-0.0035024785173712533,-191.26242913605515,0.06966859656129998,0.09063090262640605,-0.0878232361242226,1.0541701231084475,0.3062310593916059,0.07471463817302748,,,
RandomSearch,42,1,0.0,0.4460778241164629,0.15236387608426183,-665.7282715871613,0.02038933327690934,330.4181611855098,-0.06338991320171772,0.2659545134791781,0.04860980600811704,0.9211116133454298,0.4815546702443779,0.21114768030536712,,,
RandomSearch,43,1,0.0,0.0005840824950678697,1.0422153350626497,-629.8381899976252,0.03120563145298587,-94.60829010236341,-0.9755163941287899,0.6217796043489621,0.021975352929929137,0.008985132418357633,0.8373797611141619,0.18451322722717922,,,
RandomSearch,44,1,0.0,0.4488658180742555,-1.5592337650576304,-831.089209974841,-0.012911855346519,234.39967221478435,0.2324432687674598,-0.012340650783309481,-0.02386355498980297,1.2169447953146073,0.20325950598189035,0.1386743193074471,,,
RandomSearch,45,1,0.0,0.8818260662728384,-0.8666758594844819,677.9548462151374,-0.04176371335954209,237.74206716308743,-0.38335586801612065,-0.34830516153123314,-0.16223243164494772,0.6011456585310269,0.1327050047660333,0.0003054426523023679,,,
RandomSearch,46,1,0.0,0.757505509260418,1.5749342920251341,-988.1533282743733,-0.045762178932977064,-173.9730077194582,-1.0785827924248435,0.12480616283375578,0.016586370219489943,0.09408126587769594,0.3404063195989556,0.17912424451674003,,,
RandomSearch,47,1,0.0,0.00045103182972334495,-1.1038646496746796,353.6880740380709,-0.002896066794160282,51.141203430560665,0.47327923769460334,-0.3130170292017074,-0.26567601927307205,1.4577807642417508,0.09741687243650754,0.10313814497582197,,,
RandomSearch,48,0,1.0,0.982137131966158,-0.5740750191452979,1148.082345073291,-0.039787544299472524,114.05673055891725,-0.6927199976753813,-0.3456001149441066,-0.16436176423128313,0.2917815288717662,0.12999995817890675,0.0018238899340330406,,,
RandomSearch,49,1,0.0,0.27422918832082105,0.6575860998609739,1175.7000784066822,0.045485572418836204,-14.262519110912137,-0.9318128909202037,0.47331322437702195,-0.2375557685750751,0.052688635626943814,0.6889133811422218,0.07501789427782501,,,
RandomSearch,50,1,0.0,0.9680223860567223,0.2400382134011796,-344.00655772370317,-0.032815356202972525,127.29018800313156,-0.8650215473890244,-0.13594650420009957,-0.03315986474002486,0.11947997915812314,0.07965365256510026,0.12937800955722523,,,
RandomSearch,51,0,1.0,0.0005546538570042179,2.4342255127909187,-57.125273094907016,0.041760553844907,-178.39717806722925,-0.9300420158671234,0.6089672429552673,0.05262066284586542,0.05445951068002408,0.8245673997204671,0.2151585371431155,,,
RandomSearch,52,1,0.0,0.3761958146162861,-0.6645924297538417,1092.3339241447406,0.04194460479565239,8.669081176863244,0.14998379410407292,0.3146093897034543,-0.1918630477920793,1.1344853206512204,0.5302095464686541,0.029325173494829215,,,
RandomSearch,53,1,0.0,0.9926773190930219,0.7539181160412394,-352.3004281454098,-0.047148349020286896,-87.61998135966752,-1.0528631192597375,-0.11721915291921192,-0.05558642391961488,0.06836159271259001,0.09838100384598791,0.1069514503776352,,,
RandomSearch,54,0,1.0,0.0005367643852924506,2.9254545339111466,19.607553441068603,0.030717569407864784,-237.37416968382837,-0.862605898837665,0.7150112083849254,0.06926591522035963,0.12189562770948248,0.9306113651501252,0.23180378951760972,,,
RandomSearch,55,1,0.0,0.0006496341989431603,1.6708170739343657,216.7045717002252,0.04866647029966645,-131.70215891251166,-0.9737189513458349,0.4956234082526243,-0.25638066964513584,0.01078257520131265,0.7112235650178241,0.09384279534788575,,,
RandomSearch,56,1,0.0,0.0005160197066289951,0.33261340864985467,-548.2196673070753,0.023737899411580263,-302.02711317303834,-0.43219106344060476,0.5894157128854931,0.046459174850674856,0.5523104631065427,0.8050158696506929,0.20899704914792494,,,
RandomSearch,57,0,1.0,0.9838863761316602,1.656571955589004,802.5970851837872,-0.025187334993769975,-98.99348477194113,-1.08564509405534,-0.12393342128548124,-0.27765724960391847,0.10114356750819242,0.0916667354797186,0.11511937530666838,,,
RandomSearch,58,0,1.0,0.9821828789555346,-0.27246726024107426,903.4219096068146,-0.034413608192401336,290.0180962180416,-0.7064145886959641,-0.3455245410727852,-0.16230050344637448,0.27808693785118344,0.12992438430758535,0.00023737085087560672,,,
RandomSearch,59,1,0.0,2.4227016480993986e-07,-1.537001486342302,-1111.006924994384,0.031179159901894515,-304.2516743732231,1.0017886188074812,0.4926807139673146,0.07049419571128279,1.9862901453546287,0.7082808707325144,0.23303207000853288,,,
RandomSearch,60,1,0.0,0.0005625807526611714,0.8408080770668094,42.82205934108515,0.03858050797363555,122.05189437772248,-0.8568293145234986,0.4978851291514945,0.04477563025158293,0.12767221202364887,0.7134852859166944,0.20731350454883302,,,
RandomSearch,61,1,0.0,1.0,2.9105081285603527,435.68009052197567,-0.016571341519709647,306.1943971493247,-1.0436599334344066,-0.13935373952383268,-0.1700503607096735,0.05915840688725904,0.07624641724136716,0.007512486412423414,,,
RandomSearch,62,1,0.0,0.8381954139384896,-1.6045831222033757,437.302730782018,-0.03917706380773961,-224.5041171424495,-0.3067573069223437,-0.06359114102625885,-0.10650245084704668,0.6777442196248038,0.152009015738941,0.0560354234502034,,,
RandomSearch,63,1,0.0,0.9613035937727694,-0.06841199324782932,-0.7679613808609247,-0.04464175135876722,-66.00978211047686,-0.7209484586941435,-0.33082488645607677,-0.03492694554578435,0.26355306785300403,0.11522472969087694,0.12761092875146574,,,
RandomSearch,64,1,0.0,0.8383287747534396,0.6849720647110042,-530.5790892036673,-0.009390695421084581,195.66926191880282,-1.0270328134606905,0.08504856799878713,-0.03229331055068396,0.04253128691354302,0.30064872476398696,0.13024456374656612,,,
RandomSearch,65,1,0.0,0.7743526111487439,-1.0476331888354729,-458.39315998700977,-0.022390857876279004,-175.74442006190952,-0.3353787728209654,-0.1208096631094504,0.03427988866732523,0.6491227537261821,0.09479049365574943,0.19681776296457532,,,
RandomSearch,66,1,0.0,0.0004405917635876109,-1.8136386937332936,1096.1842576169215,0.0008610740696864197,-121.10429141282066,0.47291245723763176,-0.0791143948556754,-0.26697455680845295,1.4574139837847793,0.13648576190952444,0.10443668251120286,,,
RandomSearch,67,0,2.0,0.8523139247554823,2.402394269238118,-1147.3635400263845,-0.03940121656449657,-336.85488809018653,-1.0348574383344986,-0.03377409331949366,0.023227184653856092,0.050355911787351104,0.18182606344570618,0.18576505895110618,,,
RandomSearch,68,1,0.0,0.0003260519553867729,-1.847052772848932,-1193.6592009359317,0.010854968189738301,152.29485010388197,0.4018382615927356,0.1177107193800917,0.05100839503737564,1.3863397881398831,0.33331087614529153,0.21354626933462573,,,
RandomSearch,69,1,0.0,0.4464997616296664,-0.2294613224426234,1027.2034581967469,0.025565782421368838,341.5494641188924,0.09518409668234451,0.26040590875398406,-0.12768996147968892,1.079685623229492,0.4760060655191839,0.034847912817561166,,,
RandomSearch,70,1,0.0,0.8199587440046374,1.8414394346961709,53.86201024272032,-0.044390925465258496,-266.1853012918296,-0.9908501312625182,0.003673496912412144,0.03104279958747913,0.006348604715370687,0.21927365367761198,0.19358067388472922,,,
RandomSearch,71,1,0.0,0.00023136238505518474,-0.36602780772830235,-873.6743125329422,0.013744743553588679,-301.34828906304244,0.39349948311743965,0.2257595032019033,0.13370109503135907,1.3780010096645872,0.44135965996710314,0.29623896932860916,,,
RandomSearch,72,1,0.0,0.15487482794392865,0.7122126172281242,-328.21017632075893,-0.01161056440311338,-294.6727823629902,-0.9671996999040493,0.4846231096631697,0.02930205070092473,0.017301826643098206,0.7002232664283695,0.19183992499817482,,,
RandomSearch,73,1,0.0,0.9849363590431612,1.5950587553606472,633.6509617068937,-0.018094946864452066,-86.54437404561224,-1.0845509901776107,-0.12746959442035077,-0.27669177097103503,0.10004946363046319,0.08813056234484906,0.11415389667378495,,,
RandomSearch,74,1,0.0,0.2242649149461846,1.4620503963486042,-883.424608774447,0.011456927990155297,-110.52747242050242,-0.9743629742660995,0.4764759143305435,0.031401307346118124,0.010138552281047986,0.6920760710957433,0.1939391816433682,,,
RandomSearch,75,1,0.0,0.9478361253123099,1.5022319557820838,325.209424179661,-0.01882077950331327,-154.02010832895633,-1.0654146485941025,-0.06056141729606246,-0.28082152777193503,0.080913122046955,0.15503873946913738,0.11828365347468495,,,
RandomSearch,76,1,0.0,0.0004138003899427323,-0.040498567061800106,-489.70996445799926,0.025895430226890864,203.41786305695405,-0.05735435715216841,0.4910609345037322,0.04411728715586616,0.9271471693949791,0.7066610912689321,0.20665516145311624,,,
RandomSearch,77,1,0.0,0.8991397834587532,0.4774276095369929,-631.3701897353294,-0.0007562123237997015,179.5217155391257,-0.7277206323557786,-0.009772699005359264,-0.02838206284453637,0.25678089419136896,0.20582745775984057,0.1341558114527137,,,
RandomSearch,78,1,0.0,0.9927194293738045,0.7277048205429617,-1162.7380899295986,-0.04123906802290879,-80.86908285798438,-1.0511927781848862,-0.11705426707460465,-0.05562601365225195,0.0666912516377387,0.09854588969059519,0.10691186064499814,,,
RandomSearch,79,1,0.0,0.29609858485442275,2.213156438305651,-173.70744289949744,0.012354426981601864,45.05937691723568,-0.9755040507351045,0.4589086598973311,0.05054136142144472,0.008997475812043021,0.6745088166625309,0.2130792357186948,,,
RandomSearch,80,1,0.0,0.3209068837167733,-1.5954883682693404,-53.82219516916507,-0.006836105181194742,-29.425944743141372,0.32379020542770576,-0.02695849214071977,0.0023438516550582378,1.3082917319748533,0.18864166462448007,0.16488172595230832,,,
RandomSearch,81,1,0.0,0.0005774504989189578,2.5536161092427196,-481.57247614780795,0.04774548228309196,-19.58228207276653,-0.9788902756133089,0.6151689370130717,0.02925009382202859,0.00561125093383863,0.8307690937782716,0.19178796811927867,,,
RandomSearch,82,1,0.0,0.6913077227002964,0.38857304242137936,509.6415850432404,-0.002289930107039116,-308.58069531752597,-0.6140806049689806,0.2700597302457921,-0.19384574965799217,0.37042092157816686,0.48565988701099194,0.03130787536074209,,,
RandomSearch,83,1,0.0,0.0005716383720724004,0.8108977431114495,-991.965769273072,0.042932670015805516,-132.06203543148817,-0.939870162996125,0.624616608267551,0.035446320191336866,0.044631363551022485,0.8402167650327509,0.19798419448858695,,,
RandomSearch,84,1,0.0,0.0005708236828436304,2.66866124092095,44.63340989771291,0.028131248530353065,4.483645310945576,-0.9166714856544975,0.5281073506925207,0.036301641678538665,0.06783004089264999,0.7437075074577205,0.19883951597578875,,,
RandomSearch,85,1,0.0,0.530257025434337,-0.9466724087696414,1192.9792381596567,0.013437749201975047,-34.59578438822291,0.2059368590845656,-0.15205963778257203,-0.12384891746196303,1.1904383856317131,0.0635405189826278,0.03868895683528706,,,
RandomSearch,86,0,1.0,0.0006496341989431603,2.7012380808602856,135.48259077138005,-0.009373547916637484,-210.9413916227488,-1.0323482397117822,0.5854679834231593,-0.21539614190786605,0.047846713164634735,0.8010681401883591,0.05285826761061596,,,
RandomSearch,87,0,1.0,1.0,-0.3314566888766184,747.8238962481455,-0.033846837555375334,-25.97974945670302,-0.7003543351983734,-0.3118924653823385,-0.2533664591279772,0.2841471913487741,0.09629230861713867,0.09082858483072709,,,
RandomSearch,88,1,0.0,0.0005740821990597129,1.213904121161773,-134.01687145692154,-0.010105821082324884,-324.0814163235208,-0.9860285560273474,0.5231680737209743,0.03286119057280956,0.001527029480199893,0.7387682304861741,0.19539906487005965,,,
RandomSearch,89,0,1.0,0.0005684377947166761,2.078592487932214,-1022.5132053562231,-0.006725445461225457,-290.9905481246459,-0.9984732587546312,0.5735819493306571,0.038788005171730866,0.013971732207483711,0.7891821060958569,0.20132587946898095,,,
RandomSearch,90,1,0.0,0.0002589070508386671,-0.4296287021012035,674.0583503823095,0.04250517181175281,-321.88667312747805,0.4034245271028496,0.3632539480407351,-0.060448012671050044,1.387926053649997,0.5788541048059349,0.10208986162620004,,,
RandomSearch,91,1,0.0,0.9603925548244097,-0.4941320389416113,452.65052104987467,-0.012816086634094594,341.03671087252246,-0.5334473249238192,-0.29561614890748156,-0.161788711148386,0.4510542016233283,0.08001599214228172,0.0007491631488640849,,,
RandomSearch,92,1,0.0,0.00028547286568181334,-1.2894017136506157,-869.0797244247003,0.022809712630217277,135.9668315920349,0.562155243550702,0.238196191904251,0.047684425406035125,1.5466567700978495,0.45379634866945084,0.2102222997032852,,,
RandomSearch,93,0,2.0,0.8758994017334824,2.68411892986302,-1021.8480201445916,-0.04834621271490189,-260.1801988500823,-1.0579217838662318,-0.06600960508221787,0.019240420690818105,0.0734202573190843,0.14959055168298196,0.1817782949880682,,,
RandomSearch,94,0,1.0,0.23347469908766486,2.6100337632105512,-158.53106932893888,-0.007099109407104995,-161.1377610792001,-1.047289711549848,0.4752710613225646,0.0266183097118331,0.06278818500270056,0.6908712180877644,0.18915618400908318,,,
RandomSearch,95,1,0.0,2.432121952995565e-07,-1.0268109614402126,-919.563228283047,0.025333995474152313,-319.9297195069453,1.0451584649366161,0.48921340306853756,0.06864361369685401,2.0296599914837636,0.7048135598337374,0.2311814879941041,,,
RandomSearch,96,1,0.0,0.7539451395563944,1.7061663306356758,1.9414347575395823,-0.031937433988597386,-189.64803757753506,-1.0069915076621845,0.16061879729256612,-0.006118252362269594,0.022489981115036972,0.37621895405776595,0.1564196219349805,,,
RandomSearch,97,1,0.0,0.0004525197653053765,-1.7822397819220068,821.3028697594439,0.009700327863466952,164.71586572870058,0.5095851192948153,-0.1613327993658089,-0.12398217761177577,1.4940866458419628,0.054267357399390925,0.03855569668547432,,,
RandomSearch,98,1,0.0,0.0005573595706135738,0.6942345008280015,-1056.035787436145,0.021066843976687857,272.394120191518,-0.7298538141310322,0.5169743792454593,0.04997596485708922,0.2546477124161153,0.7325745360106591,0.2125138391543393,,,
RandomSearch,99,1,0.0,0.0003329106174074138,-0.6784465286601942,-263.9344954947237,0.049141958449877274,82.11909607790136,0.13248286006892318,0.5226807002432983,0.05206315877495005,1.1169843866160707,0.7382808570084981,0.21460103307220013,,,
RandomSearch,100,1,0.0,0.4929958574320734,-1.3476750564559934,-782.9498780829076,-0.024237951655624115,299.4768857310511,0.22045152004903112,-0.2999028231041956,-0.024466768733769406,1.2049530465961786,0.08430266633899575,0.13807110556348068,,,
RandomSearch,101,0,1.0,0.26053173176782124,2.0429989165845557,-1159.7043608599122,0.006213567521417204,-209.93416126421178,-0.9514378041544407,0.46818124905965286,0.04910270403366379,0.03306372239270683,0.6837814058248527,0.21164057833091388,,,
RandomSearch,102,1,0.0,0.9407281461669723,-0.7509141580142413,65.1964997437135,-0.03072436695623363,130.47629223784338,-0.66114101853685,-0.34820146748245473,-0.02564631877919421,0.3233605080102975,0.1326013107172549,0.13689155551805587,,,
RandomSearch,103,1,0.0,0.6876202894851176,-1.8100522595616657,-1123.6048888679354,-0.021070041457057632,-285.3536020819097,-0.16257855579919678,-0.08043859046920021,0.03244852882474092,0.8219229707479507,0.13516156629599962,0.194986403121991,,,
RandomSearch,104,1,0.0,0.9850932053171038,2.2733313389823167,645.7337760367466,0.00600721467864479,164.15566853723897,-0.9789818944371098,-0.09049682733755704,-0.14869031097678231,0.005519632110037698,0.1251033294276428,0.01384756332046777,,,
RandomSearch,105,1,0.0,0.00037253505570798186,-1.9509603534685642,-625.519206871594,0.0018410738948377303,213.10985074483892,0.4536844088797709,0.03255303364435447,0.014390545577615654,1.4381859354269184,0.2481531904095543,0.17692841987486574,,,
RandomSearch,106,1,0.0,0.971805807571627,0.9536059574781253,-405.0563006932306,-0.024977408839953166,251.63916479451154,-1.056777928459589,-0.1136700430716604,-0.03748488483972423,0.07227640191244156,0.10193011369353944,0.12505298945752585,,,
RandomSearch,107,0,1.0,1.0,0.7823523461922934,848.8129080217236,-0.03966482837326512,211.9457940808103,-1.0231017935414255,-0.1402430383470774,-0.1568950412615555,0.03860026699427799,0.07535711841812243,0.005642833035694572,,,
RandomSearch,108,1,0.0,0.0003268543304053678,-1.6522584259588946,-358.15931932062017,-0.009895619102959753,-304.72468867946344,0.5062990201243762,0.13815415994353497,0.03823007756143415,1.4908005466715237,0.3537543167087348,0.20076795185868423,,,
RandomSearch,109,0,1.0,0.974865131684233,2.6465205246787855,-202.89167069541816,-0.04353249013141867,133.63076103950675,-1.1133436270079309,-0.12087569186201241,-0.039234988881403865,0.12884210046078337,0.09472446490318742,0.12330288541584622,,,
RandomSearch,110,1,0.0,0.5537507969754939,-0.32655433194324446,238.49500086161083,0.016652450105560185,329.57140875411824,0.18274653704545862,-0.16252599645290333,-0.12304340970367722,1.1672480635926061,0.0530741603122965,0.039494464593572864,,,
RandomSearch,111,1,0.0,0.11537965431515028,0.8773159120788341,342.34856435600295,0.04599493859906455,-123.69753147691026,-0.9617220128784969,0.4876168853598948,-0.2559610149157452,0.02277951366865061,0.7032170421250946,0.0934231406184951,,,
RandomSearch,112,1,0.0,0.6410524411058044,-0.33807215523965795,507.6974503623683,0.014413037387287803,-119.73285697674518,0.07394301475003395,-0.10147148147001284,-0.13992589809131228,1.0584445412971815,0.114128675295187,0.0226119762059378,,,
RandomSearch,113,1,0.0,0.29607138024199153,2.672006834249652,1146.4201261663275,0.04946146226544222,137.8978219527565,-0.9695656124177847,0.4695292216069409,-0.12911451174813404,0.014935914129362793,0.6851293783721407,0.03342336254911604,,,
RandomSearch,114,1,0.0,0.9874789807428254,2.1539649349436303,961.5484781951741,0.009960334712882449,283.58981118892234,-0.9436790049390882,-0.09446836950996129,-0.13327008669766105,0.040822521608059326,0.12113178725523854,0.029267787599589035,,,
RandomSearch,115,1,0.0,0.0005557558586594435,0.7556203257334428,-420.5588733296697,0.0019528235860506102,-237.22552827457827,-0.8642811083420763,0.5383215865707771,0.051547621755063666,0.12022041820507123,0.753921743335977,0.21408549605231375,,,
RandomSearch,116,0,1.0,0.8067626919435067,2.8609713496861664,-813.2603720239813,-0.016707398016750807,-262.45616332568056,-1.033342152251977,0.04385808912903144,0.021924933417530212,0.0488406257048295,0.2594582458942313,0.1844628077147803,,,
RandomSearch,117,1,0.0,0.40591210461750876,2.1465612970381533,584.8680215781308,0.034542016225208846,296.17726313938545,-0.9488918595242368,0.4415747242291319,-0.13013229927611647,0.035609667022910685,0.6571748809943317,0.032405575021133615,,,
RandomSearch,118,1,0.0,0.9878917689710132,1.9127968540982478,242.18022940783544,0.019693567960983857,244.992003755155,-0.9365033152238089,-0.09515730670238254,-0.1288001722235501,0.04799821132333859,0.1204428500628173,0.03373770207369997,,,
RandomSearch,119,1,0.0,0.33544685078756287,-1.2040481158733662,-647.7607974438689,0.007941197636028886,-17.578674119029245,0.26811276148876306,0.11939908917983022,0.03895222442119728,1.2526142880359106,0.33499924594503006,0.20149009871844736,,,
RandomSearch,120,0,2.0,0.8610361964818385,2.6696012800892364,-406.04389307533336,-0.043118778281185446,-150.39016641028587,-1.1158513026535553,-0.029367411077919847,0.01450744142827265,0.13134977610640775,0.18623274568728,0.17704531572552273,,,
RandomSearch,121,1,0.0,0.9334297076489492,-1.1084834110229425,-180.5598601502105,-0.039410421958670616,85.45815470744657,-0.5508408784133194,-0.15995878882214365,-0.03071576126290143,0.4336606481338281,0.055641367943056186,0.13182211303434865,,,
RandomSearch,122,1,0.0,0.14915175130551753,-0.06109339149462212,-651.0789750196143,0.038748135432341346,341.86600243305486,0.11090126557808766,0.47265679353731915,0.04346516683103463,1.0954027921252352,0.688256950302519,0.20600304112828471,,,
RandomSearch,123,1,0.0,0.363125725435861,1.426471900069798,-943.4681116531152,0.002624757387901369,139.87087483887967,-1.0488120592455532,0.44178093886381253,0.024222046076670445,0.0643105326984057,0.6573810956290124,0.18675992037392053,,,
RandomSearch,124,1,0.0,0.9546368734960108,0.33952331236279765,-795.3550046021634,-0.015304444246808692,276.5903511800551,-0.7431782870086452,-0.09286290056925761,-0.03286353302047118,0.24132323953850232,0.12273725619594222,0.1296743412767789,,,
RandomSearch,125,1,0.0,0.00028289642696777075,-1.7949477334049018,-1075.984962117053,0.019759336401460673,230.2940236234773,0.5900666979621931,0.2322027087990679,0.05708535841887041,1.5745682245093406,0.44780286556426774,0.2196232327161205,,,
RandomSearch,126,1,0.0,0.9714652824266785,1.0851896153852159,962.4856813254214,0.0013747002001604156,105.16265346746627,-1.030852162163257,-0.06814523596400512,-0.15553422679741402,0.046350635616109415,0.1474549208011947,0.007003647499836063,,,
